Week,Goud,Overig,Liquiditeitsoperaties aan banken,Opkoopprogramma's
04/10/2005,149882,371298,384014,90850
11/10/2005,149784,371640,378012,91560
18/10/2005,149680,370841,371001,91829
25/10/2005,149568,371196,386005,91783
01/11/2005,149170,370543,391476,92315
08/11/2005,149086,372124,384469,92936
15/11/2005,149034,371040,385006,93221
22/11/2005,148808,374026,383504,92811
29/11/2005,148659,374910,401048,92622
06/12/2005,148551,374965,396512,93510
13/12/2005,148413,375626,423505,94248
20/12/2005,148298,376270,398516,93859
27/12/2005,148133,373162,404019,94435
03/01/2006,163881,375937,405967,92367
10/01/2006,163804,375584,406239,92987
17/01/2006,163797,377102,399115,93244
24/01/2006,163797,379529,414105,93749
31/01/2006,163779,380146,416036,95225
07/02/2006,163747,381076,390020,95530
14/02/2006,163668,381837,393516,96355
21/02/2006,163564,386226,395208,94335
28/02/2006,163489,386768,418436,94039
07/03/2006,163356,385393,411544,95472
14/03/2006,163289,386348,408027,94592
21/03/2006,163182,386420,400566,93830
28/03/2006,163088,389696,408028,95315
04/04/2006,180785,387794,404053,94845
11/04/2006,180712,390559,399999,95754
18/04/2006,180673,391091,408502,94880
25/04/2006,180631,390916,418199,95061
02/05/2006,180525,394962,411075,93827
09/05/2006,179609,399669,406008,93978
16/05/2006,179573,397156,404012,94953
23/05/2006,179547,400012,403291,93559
30/05/2006,179496,399544,411510,93544
06/06/2006,179484,401207,410505,93290
13/06/2006,179469,400658,406190,94215
20/06/2006,179449,401963,412010,93834
27/06/2006,179422,404949,436000,92147
04/07/2006,175541,397066,448556,91607
11/07/2006,175250,398616,446000,91531
18/07/2006,175176,401578,441500,89584
25/07/2006,175151,406070,455265,88668
01/08/2006,175135,407992,458045,87113
08/08/2006,175131,409626,444007,85863
15/08/2006,175099,413607,438150,85846
22/08/2006,175076,413530,431012,84294
29/08/2006,175059,415717,437511,84738
05/09/2006,175031,417928,430514,83779
12/09/2006,174917,419595,427001,83885
19/09/2006,174418,423271,420603,83861
26/09/2006,174246,424217,431000,83067
03/10/2006,175373,427869,433514,81559
10/10/2006,175333,425672,432008,81590
17/10/2006,175318,425452,428005,81391
24/10/2006,175206,426619,438503,80953
31/10/2006,175141,428694,434045,80856
07/11/2006,175040,431854,427007,79269
14/11/2006,174860,435169,423008,79795
21/11/2006,174763,435050,424001,79422
